id;es;en
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q190135;La sirenita;The Little Mermaid
Q102427;Óscar a la mejor película;Academy Award for Best Picture
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q42581;Keira Knightley;Keira Knightley
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q190679;Capitán América;Captain America
Q18281265;Universo extendido de DC;DC Extended Universe
Q47703;El padrino;The Godfather
Q426346;Rebelde sin causa;Rebel Without a Cause
Q112243;Óscar a la mejor canción original;Academy Award for Best Original Song
Q590870;cinematografía;cinematography
Q79037;Spider-Man;Spider-Man
Q110206;Harry el sucio;Dirty Harry
Q19020;Premios Óscar;Academy Awards
Q103360;Óscar al mejor director;Academy Award for Best Director
Q228186;Lawrence de Arabia;Lawrence of Arabia
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q9544977;Lilly Wachowski;Lilly Wachowski
Q276879;Coreano estadounidenses;Korean Americans
Q16;Canadá;Canada
Q223261;Destino final;Final Destination
Q30;Estados Unidos;United States
Q48326845;Cobra Kai;Cobra Kai
Q642878;Universo cinematográfico de Marvel;Marvel Cinematic Universe
Q1356213;Misión imposible;Mission: Impossible
Q183;Alemania;Germany
Q163038;Psicosis;Psycho
Q56095;hermanos Coen;Coen brothers
Q56095;hermanos Coen;Coen brothers
Q56095;hermanos Coen;Coen brothers
Q27;Irlanda;Ireland
Q217627;El graduado;The Graduate
Q34006;Hollywood;Hollywood
Q192682;Ryan Reynolds;Ryan Reynolds
Q212965;Los juegos del hambre;The Hunger Games
Q18604504;Escuadrón suicida;Suicide Squad
Q195719;Hermanas Wachowski;the Wachowskis
Q212129;Un tranvía llamado Deseo;A Streetcar Named Desire
Q2875;Lo que el viento se llevó;Gone with the Wind
Q18604504;Escuadrón suicida;Suicide Squad
Q3130;Sídney;Sydney
Q4235;Miley Cyrus;Miley Cyrus
Q21;Inglaterra;England
Q172271;Maléfica;Maleficent
Q1384;Nueva York;New York
Q1588;Luisiana;Louisiana
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q21578;Universidad de Princeton;Princeton University
Q332477;Victoria's Secret;Victoria's Secret
Q224069;La isla;The Island
Q60;Nueva York;New York City
Q624477;ciencia cristiana;Christian Science
Q106582931;El juego del calamar;Squid Game
Q167726;Parque Jurásico;Jurassic Park
Q1139794;Virgen a los 40;The 40-Year-Old Virgin
Q79037;Spider-Man;Spider-Man
Q79037;Spider-Man;Spider-Man
Q202857;Jack Sparrow;Captain Jack Sparrow
Q160071;Crepúsculo;Twilight
Q41746;Aquiles;Achilles
Q735744;Liga de la Justicia;Justice League
Q106582931;El juego del calamar;Squid Game
Q212965;Los juegos del hambre;The Hunger Games
Q3390587;Agente J;Agent J
Q2071077;Agente Ka;Agent K
Q161687;Harry Potter y el misterio del príncipe;Harry Potter and the Half-Blood Prince
Q212965;Los juegos del hambre;The Hunger Games
Q21528112;Atómica;Atomic Blonde
Q318766;La terminal;The Terminal
Q19020;Premios Óscar;Academy Awards
Q44523;Crepúsculo;Twilight
Q213480;Legolas;Legolas
Q277038;Lo imposible;The Impossiblee
Q202857;Jack Sparrow;Captain Jack Sparrow
Q202857;Jack Sparrow;Captain Jack Sparrow
Q202857;Jack Sparrow;Captain Jack Sparrow
Q103916;Óscar al mejor actor;Academy Award for Best Actor
Q220780;Toro salvaje;Raging Bull
Q484442;Spider-Man;Spider-Man
Q44523;Crepúsculo;Twilight
Q160071;Crepúsculo;Twilight
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q110206;Harry el sucio;Dirty Harry
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q160071;Crepúsculo;Twilight
Q160071;Crepúsculo;Twilight
Q30;Estados Unidos;United States
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q11424;película;film
Q189505;Tiburón;Jaws
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q1140216;Piraña;Piranha
Q11424;película;film
Q2526255;director de cine;film director
Q11424;película;film
Q11424;película;film
Q11424;película;film
Q11424;película;film
Q484442;Spider-Man;Spider-Man
Q105584;Rotten Tomatoes;Rotten Tomatoes
Q3772;Quentin Tarantino;Quentin Tarantino
Q30;Estados Unidos;United States
Q30;Estados Unidos;United States
Q30;Estados Unidos;United States
Q30;Estados Unidos;United States
Q11424;película;film
Q11424;película;film
Q11424;película;film
Q79037;Spider-Man;Spider-Man
Q484442;Spider-Man;Spider-Man
Q11424;película;film
Q23572;Juego de Tronos;Game of Thrones
Q106582931;El juego del calamar;Squid Game
Q11424;película;film
Q11424;película;film
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q11424;película;film
Q79037;Spider-Man;Spider-Man
Q103618;Óscar a la mejor actriz;Academy Award for Best Actress
Q103360;Óscar al mejor director;Academy Award for Best Director
Q19020;Premios Óscar;Academy Awards
Q11424;película;film
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q44523;Crepúsculo;Twilight
Q44523;Crepúsculo;Twilight
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
Q103360;Óscar al mejor director;Academy Award for Best Director
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q11424;película;film
Q11424;película;film
Q47703;El padrino;The Godfather
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q2336369;Parque Jurásico;Jurassic Park
Q11424;película;film
Q19020;Premios Óscar;Academy Awards
Q373096;Cómo entrenar a tu dragón;How to Train Your Dragon
Q102225;Harry Potter y el cáliz de fuego;Harry Potter and the Goblet of Fire
Q102448;Harry Potter y el prisionero de Azkaban;Harry Potter and the Prisoner of Azkaban
Q574583;Los juegos del hambre: en llamas;The Hunger Games: Catching Fire
Q106428;Apolo 13;Apollo 13
Q19020;Premios Óscar;Academy Awards
Q19020;Premios Óscar;Academy Awards
Q475693;Oldboy;Oldboy
Q7850;chino;Chinese
Q483941;La lista de Schindler;Schindler's List
Q540125;Cortocircuito;Short Circuit
Q274167;El exorcista;The Exorcist
Q27038847;Han Solo: una historia de Star Wars;Solo: A Star Wars Story
Q79037;Spider-Man;Spider-Man
Q103360;Óscar al mejor director;Academy Award for Best Director
Q63026;El paciente inglés;The English Patient
Q215518;Aladdín;Aladdin
Q650613;El protegido;Unbreakable
Q134773;Forrest Gump;Forrest Gump
Q862197;El Expreso Polar;The Polar Express
Q24815;Ciudadano Kane;Citizen Kane
Q213411;Náufrago;Cast Away
Q102225;Harry Potter y el cáliz de fuego;Harry Potter and the Goblet of Fire
Q36767;Robert Pattinson;Robert Pattinson
Q105221;Dan Aykroyd;Dan Aykroyd
Q105221;Dan Aykroyd;Dan Aykroyd
Q272599;Sin novedad en el frente;All Quiet on the Western Front
Q30;Estados Unidos;United States
Q824;Oregón;Oregon
Q103916;Óscar al mejor actor;Academy Award for Best Actor
Q21;Inglaterra;England
Q373096;Cómo entrenar a tu dragón;How to Train Your Dragon
Q19754079;listas de Billboard;Billboard charts
Q2455314;Vol. 2: Hard Knock Life;Vol. 2... Hard Knock Life
Q37150;Lana Del Rey;Lana Del Rey
Q6078;Dr. Dre sinz;Dr. Dre
Q62766;Jay-Z;Jay-Z
Q62766;Jay-Z;Jay-Z
Q2121062;The Weeknd;The Weeknd
Q41254;premios Grammy;Grammy Awards
Q1225;Bruce Springsteen;Bruce Springsteen
Q23215;Adele;Adele
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q159351;Run-DMC;Run-DMC
Q154454;NSYNC;NSYNC
Q41254;premios Grammy;Grammy Awards
Q25056945;Blackpink;Blackpink
Q223313;Premios Brit;BRIT Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q83287;Selena Gomez;Selena Gomez
Q639669;músico;musician
Q41254;premios Grammy;Grammy Awards
Q19848;Lady Gaga;Lady Gaga
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q34;Suecia;Sweden
Q41254;premios Grammy;Grammy Awards
Q842438;británicos;British
Q20899424;Def Leppard;Def Leppard
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q1384;Nueva York;New York
Q52463;Wu-Tang Clan;Wu-Tang Clan
Q16;Canadá;Canada
Q27;Irlanda;Ireland
Q1860;inglés;English
Q229375;Linda Ronstadt;Linda Ronstadt
Q884;Corea del Sur;South Korea
Q884;Corea del Sur;South Korea
Q884;Corea del Sur;South Korea
Q884;Corea del Sur;South Korea
Q482994;álbum;album
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q11895;Guns N' Roses;Guns N' Roses
Q41254;premios Grammy;Grammy Awards
Q30;Estados Unidos;United States
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q8684;Seúl;Seoul
Q1384;Nueva York;New York
Q21;Inglaterra;England
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q1445071;Newsboys;Newsboys
Q41254;premios Grammy;Grammy Awards
Q133405;Bee Gees;Bee Gees
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q3505252;sobredosis;drug overdose
Q869;Tailandia;Thailand
Q23572;Juego de Tronos;Game of Thrones
Q869;Tailandia;Thailand
Q54274;Piratas del Caribe: en el fin del mundo;Pirates of the Caribbean: At World's End
Q482994;álbum;album
Q65;Los Ángeles;Los Angeles
Q60;Nueva York;New York City
Q145;Reino Unido;United Kingdom
Q65;Los Ángeles;Los Angeles
Q16;Canadá;Canada
Q1149781;Russell Wilson;Russell Wilson The Great Joseph Jason Namakaeha Moamoa
Q106039;cristiano;Christian
Q869;Tailandia;Thailand
Q185465;Paula Abdul;Paula Abdul
Q1860;inglés;English
Q153056;Destiny's Child;Destiny's Child
Q22502;Taiwán;Taiwan Island
Q155016;...Baby One More Time;...Baby One More Time
Q2252262;rapero;rapper
Q16;Canadá;Canada
Q193705;El cascanueces;The Nutcracker
Q41254;premios Grammy;Grammy Awards
Q1744;Madonna;Madonna
Q482994;álbum;album
Q30;Estados Unidos;United States
Q41254;premios Grammy;Grammy Awards
Q62766;Jay-Z;Jay-Z
Q216936;Sean Combs;Sean Combs
Q639669;músico;musician
Q41254;premios Grammy;Grammy Awards
Q134969;R.E.M.;R.E.M.
Q30;Estados Unidos;United States
Q30;Estados Unidos;United States
Q478275;Kirill Petrenko;Kirill Petrenko
Q482994;álbum;album
Q7366;canción;song
Q7366;canción;song
Q41254;premios Grammy;Grammy Awards
Q7366;canción;song
Q521371;disco de oro;gold record
Q2006529;Wu-Tang Forever;Wu-Tang Forever
Q41254;premios Grammy;Grammy Awards
Q7366;canción;song
Q30;Estados Unidos;United States
Q177220;cantante;singer
Q7366;canción;song
Q145;Reino Unido;United Kingdom
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q1344;ópera;opera
Q657452;Tha Carter II;Tha Carter II
Q182832;concierto;concert
Q6256;país;country
Q34379;instrumento musical;musical instrument
Q7366;canción;song
Q482994;álbum;album
Q639669;músico;musician
Q482994;álbum;album
Q482994;álbum;album
Q30;Estados Unidos;United States
Q30;Estados Unidos;United States
Q30;Estados Unidos;United States
Q1027904;premio Grammy a la canción del año;Grammy Award for Song of the Year
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q482994;álbum;album
Q177220;cantante;singer
Q482994;álbum;album
Q41254;premios Grammy;Grammy Awards
Q482994;álbum;album
Q41254;premios Grammy;Grammy Awards
Q7366;canción;song
Q41254;premios Grammy;Grammy Awards
Q7366;canción;song
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q7366;canción;song
Q639669;músico;musician
Q59268408;Megan Thee Stallion;Megan Thee Stallion
Q134969;R.E.M.;R.E.M.
Q2301607;Tha Carter;Tha Carter
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q41254;premios Grammy;Grammy Awards
Q179191;Salón de la Fama del Rock;Rock and Roll Hall of Fame
Q41254;premios Grammy;Grammy Awards
Q30;Estados Unidos;United States
Q41254;premios Grammy;Grammy Awards
Q159;Rusia;Russia
Q26876;Taylor Swift;Taylor Swift
Q145;Reino Unido;United Kingdom
Q145;Reino Unido;United Kingdom
Q62766;Jay-Z;Jay-Z
Q6078;Dr. Dre sinz;Dr. Dre
Q520296;John Prine;John Prine
Q484030;Kirk Hammett;Kirk Hammett
Q1277708;Boban Marjanović;Boban Marjanović
Q30;Estados Unidos;United States
Q184;Bielorrusia;Belarus
Q38;Italia;Italy
Q348618;Kyrie Irving;Kyrie Irving
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q650840;Philadelphia Phillies;Philadelphia Phillies
Q265538;Serie Mundial;World Series
Q636830;medalla olímpica;Olympic medal
Q984327;Matt Ryan;Matt Ryan
Q155;Brasil;Brazil
Q183;Alemania;Germany
Q5389;Juegos Olímpicos;Olympic Games
Q39562;Michael Phelps;Michael Phelps
Q1097511;J.J. Watt;J. J. Watt
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q846570;estadounidenses;Americans
Q30;Estados Unidos;United States
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q594428;NFC Este;NFC East
Q16836317;Atlanta United FC;Atlanta United FC
Q201864;Tampa Bay Lightning;Tampa Bay Lightning
Q183;Alemania;Germany
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q155;Brasil;Brazil
Q636830;medalla olímpica;Olympic medal
Q265538;Serie Mundial;World Series
Q858082;Liga Nacional;National League
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q142;Francia;France
Q155;Brasil;Brazil
Q5389;Juegos Olímpicos;Olympic Games
Q18756;Liga de Campeones de la UEFA;UEFA Champions League
Q233454;Bota de Oro;European Golden Shoe
Q1124948;Trofeo Zamora;Ricardo Zamora Trophy
Q33881;Tour de Francia;Tour de France
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q230186;Juegos Panamericanos;Pan American Games
Q634857;Premio Cy Young;Cy Young Award
Q265538;Serie Mundial;World Series
Q847;tenis;tennis
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q1384;Nueva York;New York
Q5389;Juegos Olímpicos;Olympic Games
Q159821;Juegos Olímpicos de Verano;Summer Olympic Games
Q5389;Juegos Olímpicos;Olympic Games
Q3130;Sídney;Sydney
Q846570;estadounidenses;Americans
Q403;Serbia;Serbia
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q5389;Juegos Olímpicos;Olympic Games
Q5389;Juegos Olímpicos;Olympic Games
Q224;Croacia;Croatia
Q142;Francia;France
Q265538;Serie Mundial;World Series
Q1384;Nueva York;New York
Q1079023;campeonato;championship
Q199896;Karl Malone;Karl Malone
Q636830;medalla olímpica;Olympic medal
Q36159;LeBron James;LeBron James
Q12973014;equipo deportivo;sports team
Q265538;Serie Mundial;World Series
Q308966;San Francisco Gigantes;San Francisco Giants
Q636830;medalla olímpica;Olympic medal
Q30;Estados Unidos;United States
Q636830;medalla olímpica;Olympic medal
Q120649;Guante de Oro;Rawlings Gold Glove Award
Q265538;Serie Mundial;World Series
Q21;Inglaterra;England
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q809892;Salón de la Fama del Béisbol;National Baseball Hall of Fame and Museum
Q265538;Serie Mundial;World Series
Q21;Inglaterra;England
Q12199;SIDA;AIDS
Q545007;Gainbridge Fieldhouse;Gainbridge Fieldhouse
Q1454;Carolina del Norte;North Carolina
Q1363291;División Este de la Liga Americana;American League East
Q1079023;campeonato;championship
Q649;Moscú;Moscow
Q858082;Liga Nacional;National League
Q6256;país;country
Q467;mujer;woman
Q11417;arte marcial;martial art
Q349;deporte;sport
Q265538;Serie Mundial;World Series
Q159821;Juegos Olímpicos de Verano;Summer Olympic Games
Q7539;Peyton Manning;Peyton Manning
Q3405246;Premio Roberto Clemente;Roberto Clemente Award
Q858082;Liga Nacional;National League
Q16;Canadá;Canada
Q743309;Los Angeles Angels;Los Angeles Angels
Q846570;estadounidenses;Americans
Q82414;Juegos Olímpicos de Invierno;Winter Olympic Games
Q177220;cantante;singer
Q5389;Juegos Olímpicos;Olympic Games
Q5372;baloncesto;basketball
Q5369;béisbol;baseball
Q65;Los Ángeles;Los Angeles
Q79;Egipto;Egypt
Q842438;británicos;British
Q744089;Asociación de Tenistas Profesionales;Association of Tennis Professionals
Q846570;estadounidenses;Americans
Q18426;El Bronx;The Bronx
Q1079023;campeonato;championship
Q61;Washington D. C.;Washington, D.C.
Q824;Oregón;Oregon
Q5389;Juegos Olímpicos;Olympic Games
Q5389;Juegos Olímpicos;Olympic Games
Q5389;Juegos Olímpicos;Olympic Games
Q6581097;masculino;male
Q5389;Juegos Olímpicos;Olympic Games
Q1035067;Trofeo Heisman;Heisman Trophy
Q265538;Serie Mundial;World Series
Q1035067;Trofeo Heisman;Heisman Trophy
Q1035067;Trofeo Heisman;Heisman Trophy
Q1035067;Trofeo Heisman;Heisman Trophy
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q1377846;Salvamento;save
Q19317;Copa Mundial de Fútbol;FIFA World Cup
Q102113;Grand Slam;Grand Slam of tennis
Q265538;Serie Mundial;World Series
Q1035067;Trofeo Heisman;Heisman Trophy
Q265538;Serie Mundial;World Series
Q1163715;Grandes Ligas de Béisbol;Major League Baseball
Q29545;Kevin Durant;Kevin Durant
Q36159;LeBron James;LeBron James
Q142;Francia;France
Q21;Inglaterra;England
Q21;Inglaterra;England
Q265538;Serie Mundial;World Series
Q180748;Mark Spitz;Mark Spitz
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q265538;Serie Mundial;World Series
Q159821;Juegos Olímpicos de Verano;Summer Olympic Games
Q636830;medalla olímpica;Olympic medal
Q636830;medalla olímpica;Olympic medal
Q297221;Kevin Love;Kevin Love
Q1426;Roger Federer;Roger Federer
Q1426;Roger Federer;Roger Federer
Q82414;Juegos Olímpicos de Invierno;Winter Olympic Games
Q8441;varón;man
Q281678;peso pesado;heavyweight
Q11338576;boxeador;boxer
Q11338576;boxeador;boxer
Q1079023;campeonato;championship
Q102113;Grand Slam;Grand Slam of tennis
Q5369;béisbol;baseball
Q11338576;boxeador;boxer
Q11338576;boxeador;boxer
Q11338576;boxeador;boxer
Q5369;béisbol;baseball
Q534851;jonrón;home run
Q5389;Juegos Olímpicos;Olympic Games
Q534851;jonrón;home run
Q1048902;lanzador;pitcher
Q1154763;ponche;strikeout
Q5389;Juegos Olímpicos;Olympic Games
Q1079023;campeonato;championship
Q159821;Juegos Olímpicos de Verano;Summer Olympic Games
Q41323;fútbol americano;American football
Q41323;fútbol americano;American football
Q265538;Serie Mundial;World Series
Q678383;Trofeo Hart;Hart Memorial Trophy
Q1154763;ponche;strikeout
Q1163715;Grandes Ligas de Béisbol;Major League Baseball
Q1968;Fórmula 1;Formula One
Q2707177;Copa NASCAR;NASCAR Cup Series
Q2707177;Copa NASCAR;NASCAR Cup Series
Q11338576;boxeador;boxer
Q281678;peso pesado;heavyweight
Q102113;Grand Slam;Grand Slam of tennis
Q102113;Grand Slam;Grand Slam of tennis
Q265538;Serie Mundial;World Series
Q2707177;Copa NASCAR;NASCAR Cup Series
Q2707177;Copa NASCAR;NASCAR Cup Series
Q1968;Fórmula 1;Formula One
Q28454519;gol;goal
Q2736;fútbol;association football
Q30;Estados Unidos;United States
Q265538;Serie Mundial;World Series
Q1163715;Grandes Ligas de Béisbol;Major League Baseball
Q258851;Salón de la Fama del Golf Mundial;World Golf Hall of Fame
Q79465885;Serie Mundial de 2020;2020 World Series
Q10980;triatlón;triathlon
Q53121;ciclismo;cycling
Q10980;triatlón;triathlon
Q5389;Juegos Olímpicos;Olympic Games
Q5389;Juegos Olímpicos;Olympic Games
Q265538;Serie Mundial;World Series
Q5389;Juegos Olímpicos;Olympic Games
Q8678;Río de Janeiro;Rio de Janeiro
Q265538;Serie Mundial;World Series
Q1079023;campeonato;championship
Q1079023;campeonato;championship
Q8991894;Giannis Antetokounmpo;Giannis Antetokounmpo
Q265538;Serie Mundial;World Series
Q828160;Campeonato de la PGA;PGA Championship
Q121783;Los Ángeles Lakers;Los Angeles Lakers
Q65;Los Ángeles;Los Angeles
Q159821;Juegos Olímpicos de Verano;Summer Olympic Games
Q265538;Serie Mundial;World Series
Q170583;Orgullo y prejuicio;Pride and Prejudice
Q208460;1984;Nineteen Eighty-Four
Q41542;Drácula;Dracula
Q44523;Crepúsculo;Twilight
Q3260367;Escalofríos;Goosebumps
Q183883;El Guardián entre el Centeno;The Catcher in the Rye
Q170583;Orgullo y prejuicio;Pride and Prejudice
Q483412;Las Crónicas de Narnia;The Chronicles of Narnia
Q44523;Crepúsculo;Twilight
Q483412;Las Crónicas de Narnia;The Chronicles of Narnia
Q183883;El Guardián entre el Centeno;The Catcher in the Rye
Q3107329;Guía del autoestopista galáctico;The Hitchhiker's Guide to the Galaxy
Q1701679;John Sandford;John Sandford
Q5583528;Buenas noche, Luna;Goodnight Moon
Q7729402;La cura mortal;The Death Cure
Q428;Corán;Qur’an
Q1845;Biblia;Bible
Q742226;Cementerio de animales;Pet Sematary
Q591623;Primavera silenciosa;Silent Spring
Q43361;Harry Potter y la piedra filosofal;Harry Potter and the Philosopher's Stone
Q189378;Crepúsculo;Twilight
Q477508;La abadía de Northanger;Northanger Abbey
Q300370;Choque de reyes;A Clash of Kings
Q28306;Danza de dragones;A Dance with Dragons
Q973053;El gato en el sombrero;The Cat in the Hat
Q212340;Matar un ruiseñor;To Kill a Mockingbird
Q2875;Lo que el viento se llevó;Gone with the Wind
Q200920;Por quién doblan las campanas;For Whom the Bell Tolls
Q15228;El Señor de los Anillos;The Lord of the Rings
Q4470;La rueda del tiempo;The Wheel of Time
Q11679;Los juegos del hambre;The Hunger Games
Q44523;Crepúsculo;Twilight
Q15228;El Señor de los Anillos;The Lord of the Rings
Q11679;Los juegos del hambre;The Hunger Games
Q165318;Crimen y castigo;Crime and Punishment
Q742226;Cementerio de animales;Pet Sematary
Q828031;Ojos de fuego;Firestarter
Q470937;El resplandor;The Shining
Q30;Estados Unidos;United States
Q11679;Los juegos del hambre;The Hunger Games
Q557867;Cincuenta sombras de Grey;Fifty Shades of Grey
Q15228;El Señor de los Anillos;The Lord of the Rings
Q557867;Cincuenta sombras de Grey;Fifty Shades of Grey
Q44523;Crepúsculo;Twilight
Q15228;El Señor de los Anillos;The Lord of the Rings
Q457977;De ratones y hombres;Of Mice and Men
Q1339580;El diario de Greg;Diary of a Wimpy Kid
Q483412;Las Crónicas de Narnia;The Chronicles of Narnia
Q208460;1984;Nineteen Eighty-Four
Q44523;Crepúsculo;Twilight
Q160219;Stephenie Meyer;Stephenie Meyer
Q457977;De ratones y hombres;Of Mice and Men
Q15228;El Señor de los Anillos;The Lord of the Rings
Q74287;El hobbit;The Hobbit
Q272076;Dean Koontz;Dean Koontz
Q47231;Odiseo;Odysseus
Q193567;Polifemo;Polyphemus
Q35160;Odisea;Odyssey
Q1320997;Los viajes de Gulliver;Gulliver's Travels
Q472194;El jardín secreto;The Secret Garden
Q46751;Harry Potter y el cáliz de fuego;Harry Potter and the Goblet of Fire
Q4470;La rueda del tiempo;The Wheel of Time
Q213841;Una serie de eventos desafortunados;A Series of Unfortunate Events
Q184222;La metamorfosis;The Metamorphosis
Q36097;El proceso;The Trial
Q4470;La rueda del tiempo;The Wheel of Time
Q45875;Canción de hielo y fuego;A Song of Ice and Fire
Q214371;El gran Gatsby;The Great Gatsby
Q557867;Cincuenta sombras de Grey;Fifty Shades of Grey
Q25338;El Principito;The Little Prince
Q15228;El Señor de los Anillos;The Lord of the Rings
Q11679;Los juegos del hambre;The Hunger Games
Q602288;It;It
