id;wikidata_id;entity_types;source;targets;source_locale;target_locale
Q1215450_1;Q1215450;['Artwork', 'Book'];Who is the author of the book The Doors of Perception?;[{'translation': '¿Quién es el autor del libro Las puertas de la percepción?', 'mention': 'Las puertas de la percepción'}, {'translation': '¿Quién es el autor del libro Las Puertas de la Percepción?', 'mention': 'Las Puertas de la Percepción'}];en;es
Q1215450_2;Q1215450;['Artwork', 'Book'];Is The Doors of Perception considered a work of art?;[{'translation': '¿Se considera Las puertas de la percepción una obra de arte?', 'mention': 'Las puertas de la percepción'}, {'translation': '¿Se considera Las Puertas de la Percepción una obra de arte?', 'mention': 'Las Puertas de la Percepción'}];en;es
Q12810220_0;Q12810220;['Movie'];What is the plot of Kapıcılar Kralı?;[{'translation': '¿Cuál es la trama de King of the Doormen?', 'mention': 'King of the Doormen'}];en;es
Q12810220_1;Q12810220;['Movie'];What is the genre of the movie Kapıcılar Kralı?;[{'translation': '¿Cuál es el género de la película King of the Doormen?', 'mention': 'King of the Doormen'}];en;es
Q12810220_2;Q12810220;['Movie'];When was the movie Kapıcılar Kralı released?;[{'translation': '¿Cuándo se estrenó la película King of the Doormen?', 'mention': 'King of the Doormen'}];en;es
Q1377929_0;Q1377929;['TV series'];When was Tico of the Seven Seas first aired?;[{'translation': '¿Cuándo se emitió por primera vez Tico de los siete mares?', 'mention': 'Tico de los siete mares'}];en;es
Q1377929_1;Q1377929;['TV series'];Who are the main characters in Tico of the Seven Seas?;[{'translation': '¿Quiénes son los personajes principales de Tico de los siete mares?', 'mention': 'Tico de los siete mares'}];en;es
Q1377929_2;Q1377929;['TV series'];How many episodes are there in Tico of the Seven Seas?;[{'translation': '¿Cuántos episodios tiene Tico de los siete mares?', 'mention': 'Tico de los siete mares'}, {'translation': '¿Cuántos episodios hay en Tico de los siete mares?', 'mention': 'Tico de los siete mares'}];en;es
Q1574587_0;Q1574587;['Place of worship'];Are there any specific rules or dress code to be followed when visiting King Abdullah I Mosque?;[{'translation': '¿Hay alguna regla específica o código de vestimenta que se deba seguir al visitar la Mezquita del Rey Abdalá I?', 'mention': 'Mezquita del Rey Abdalá I'}, {'translation': '¿Hay alguna regla específica o código de vestimenta que se pueda seguir al visitar la Mezquita del Rey Abdalá I?', 'mention': 'Mezquita del Rey Abdalá I'}];en;es
Q1574587_1;Q1574587;['Place of worship'];How would you describe the architectural style of King Abdullah I Mosque?;[{'translation': '¿Cómo describirías el estilo arquitectónico de la Mezquita del Rey Abdalá I?', 'mention': 'Mezquita del Rey Abdalá I'}];en;es
Q1574587_2;Q1574587;['Place of worship'];Can visitors of all religious backgrounds enter King Abdullah I Mosque?;[{'translation': '¿Pueden los visitantes de todos los orígenes religiosos entrar en la Mezquita del Rey Abdalá I?', 'mention': 'Mezquita del Rey Abdalá I'}];en;es
Q157491_0;Q157491;['Person'];What was Marie Louise I, Duchess of Parma's title before she became Empress of France?;[{'translation': '¿Cuál era el título de María Luisa de Austria antes de convertirse en emperatriz de Francia?', 'mention': 'María Luisa de Austria'}];en;es
Q157491_1;Q157491;['Person'];What was Marie Louise I, Duchess of Parma's role as Empress of France?;[{'translation': '¿Cuál fue el papel de María Luisa de Austria como emperatriz de Francia?', 'mention': 'María Luisa de Austria'}];en;es
Q157491_2;Q157491;['Person'];When did Marie Louise I, Duchess of Parma reign as Empress of France?;[{'translation': '¿Cuándo reinó María Luisa de Austria como emperatriz de Francia?', 'mention': 'María Luisa de Austria'}];en;es
Q1625975_0;Q1625975;['Movie'];How would you describe the plot of The World in His Arms?;[{'translation': '¿Cómo describirías la trama de El mundo en sus manos?', 'mention': 'El mundo en sus manos'}, {'translation': '¿Cómo describirías el argumento de El mundo en sus manos?', 'mention': 'El mundo en sus manos'}];en;es
Q1625975_1;Q1625975;['Movie'];What year was The World in His Arms released?;[{'translation': '¿En qué año se estrenó El mundo en sus manos?', 'mention': 'El mundo en sus manos'}];en;es
Q1625975_2;Q1625975;['Movie'];What type of film is The World in His Arms?;[{'translation': '¿Qué tipo de película es El mundo en sus manos?', 'mention': 'El mundo en sus manos'}, {'translation': '¿Cuál es el género cinematográfico de El mundo en sus manos?', 'mention': 'El mundo en sus manos'}];en;es
Q1823920_0;Q1823920;['Artwork', 'Book'];How would you describe The Rape of the Lock in one word?;[{'translation': '¿Cómo describirías El rizo robado en una palabra?', 'mention': 'El rizo robado'}];en;es
Q1823920_1;Q1823920;['Artwork', 'Book'];Who is the author of The Rape of the Lock?;[{'translation': '¿Quién es el autor de El rizo robado?', 'mention': 'El rizo robado'}];en;es
Q1823920_2;Q1823920;['Artwork', 'Book'];What type of artwork is The Rape of the Lock?;[{'translation': '¿Qué tipo de obra artística es El rizo robado?', 'mention': 'El rizo robado'}, {'translation': '¿Qué tipo de obra es El rizo robado?', 'mention': 'El rizo robado'}, {'translation': '¿Qué tipo de obra de arte es El rizo robado?', 'mention': 'El rizo robado'}];en;es
Q1973935_0;Q1973935;['Place of worship'];How would you describe Serrabone Priory?;[{'translation': '¿Cómo describirías la Abadía de Santa María de Serrabona?', 'mention': 'Abadía de Santa María de Serrabona'}, {'translation': '¿Cómo describirías el Abadía de Santa María de Serrabona?', 'mention': 'Abadía de Santa María de Serrabona'}];en;es
Q1973935_1;Q1973935;['Place of worship'];What type of place is Serrabone Priory?;[{'translation': '¿Qué tipo de lugar es la Abadía de Santa María de Serrabona?', 'mention': 'Abadía de Santa María de Serrabona'}, {'translation': '¿Qué tipo de lugar es el Abadía de Santa María de Serrabona?', 'mention': 'Abadía de Santa María de Serrabona'}];en;es
Q220951_0;Q220951;['Landmark'];What architectural style is Church of the Ascension, Kolomenskoye built in?;[{'translation': '¿En qué estilo arquitectónico está construida la Iglesia de la Ascensión?', 'mention': 'Iglesia de la Ascensión'}, {'translation': '¿Cuál es el estilo arquitectónico de la Iglesia de la Ascensión de Kolómenskoye?', 'mention': 'Iglesia de la Ascensión de Kolómenskoye'}, {'translation': '¿En qué estilo arquitectónico está construida la Iglesia de la Ascensión, Kolómenskoye?', 'mention': 'Iglesia de la Ascensión, Kolómenskoye'}];en;es
Q220951_1;Q220951;['Landmark'];How old is Church of the Ascension, Kolomenskoye?;[{'translation': '¿Cuántos años tiene la Iglesia de la Ascensión?', 'mention': 'Iglesia de la Ascensión'}, {'translation': '¿Cuántos años tiene la Iglesia de la Ascensión de Kolómenskoye?', 'mention': 'Iglesia de la Ascensión de Kolómenskoye'}, {'translation': '¿Cuántos años tiene la Iglesia de la Ascensión, Kolómenskoye?', 'mention': 'Iglesia de la Ascensión, Kolómenskoye'}];en;es
Q220951_2;Q220951;['Landmark'];Can visitors go inside Church of the Ascension, Kolomenskoye?;[{'translation': '¿Pueden los visitantes entrar a la Iglesia de la Ascensión?', 'mention': 'Iglesia de la Ascensión'}, {'translation': '¿Los visitantes pueden entrar en la Iglesia de la Ascensión de Kolómenskoye?', 'mention': 'Iglesia de la Ascensión de Kolómenskoye'}, {'translation': '¿Pueden los visitantes entrar en la Iglesia de la Ascensión, Kolómenskoye?', 'mention': 'Iglesia de la Ascensión, Kolómenskoye'}];en;es
Q2289037_0;Q2289037;['Person', 'Fictional entity'];What is Android 18's relationship with Krillin in Dragon Ball?;[{'translation': '¿Cuál es la relación de Androide 18 con Krillin en Dragon Ball?', 'mention': 'Androide 18'}, {'translation': '¿Cuál es la relación del Androide 18 con Krillin en Dragon Ball?', 'mention': 'Androide 18'}];en;es
Q2289037_1;Q2289037;['Person', 'Fictional entity'];What are Android 18's special abilities and powers?;[{'translation': '¿Cuáles son las habilidades y poderes especiales de Androide 18?', 'mention': 'Androide 18'}, {'translation': '¿Cuáles son las habilidades y poderes especiales del Androide 18?', 'mention': 'Androide 18'}];en;es
Q2289037_2;Q2289037;['Person', 'Fictional entity'];Who did Android 18 initially serve in Dragon Ball?;[{'translation': '¿A quién sirvió inicialmente Androide 18en Dragon Ball?', 'mention': 'Androide 18'}, {'translation': '¿A quién sirvió inicialmente el Androide 18 en Dragon Ball?', 'mention': 'Androide 18'}];en;es
Q2663347_0;Q2663347;['Musical work'];Describe the song White Army, Black Baron in one sentence.;[{'translation': 'Describe la canción El Ejército Rojo es el más fuerte en una frase.', 'mention': 'El Ejército Rojo es el más fuerte'}, {'translation': 'Describe la canción El Ejército Rojo es el más fuerteen una frase.', 'mention': 'El Ejército Rojo es el más fuerte'}];en;es
Q2663347_1;Q2663347;['Musical work'];What is the subject and type of the musical work White Army, Black Baron?;[{'translation': '¿Cuál es el tema y el tipo de la obra musical El Ejército Rojo es el más fuerte?', 'mention': 'El Ejército Rojo es el más fuerte'}];en;es
Q2663347_2;Q2663347;['Musical work'];Which ensemble performs the song White Army, Black Baron?;[{'translation': '¿Qué conjunto interpreta la canción El Ejército Rojo es el más fuerte?', 'mention': 'El Ejército Rojo es el más fuerte'}];en;es
Q3387436_0;Q3387436;['Person'];In which navies did Prince Pierre, Duke of Penthièvre serve as an officer?;[{'translation': '¿En qué armadas sirvió Pedro de Orleans y Braganza como oficial?', 'mention': 'Pedro de Orleans y Braganza'}, {'translation': '¿En qué navíos sirvió como oficial Pedro de Orleans, Duque de Penthièvre?', 'mention': 'Pedro de Orleans, Duque de Penthièvre'}, {'translation': '¿En qué armadas sirvió Pedro de Orléans como oficial?', 'mention': 'Pedro de Orléans'}];en;es
Q3387436_1;Q3387436;['Person'];What was the primary occupation of Prince Pierre, Duke of Penthièvre?;[{'translation': '¿Cuál fue la principal ocupación de Pedro de Orleans y Braganza?', 'mention': 'Pedro de Orleans y Braganza'}, {'translation': '¿Cuál fue ocupación principal de Pedro de Orleans, Duque de Penthièvre?', 'mention': 'Pedro de Orleans, Duque de Penthièvre'}, {'translation': '¿Cuál fue la ocupación principal del Pedro de Orléans?', 'mention': 'Pedro de Orléans'}];en;es
Q3387436_2;Q3387436;['Person'];Was Prince Pierre, Duke of Penthièvre known for his travels around the world?;[{'translation': '¿Fue conocido Pedro de Orleans y Braganza por sus viajes alrededor del mundo?', 'mention': 'Pedro de Orleans y Braganza'}, {'translation': '¿Se conoció a Pedro de Orleans, Duque de Penthièvre por sus viajes alrededor del mundo?', 'mention': 'Pedro de Orleans, Duque de Penthièvre'}, {'translation': '¿Fue conocido el Duque de Penthièvre, Pedro de Orléans, por sus viajes alrededor del mundo?', 'mention': 'Duque de Penthièvre, Pedro de Orléans'}];en;es
Q3886309_0;Q3886309;['Fictional entity', 'Person'];In which Dr. Seuss stories does Horton the Elephant appear?;[{'translation': '¿En qué historias del Dr. Seuss aparece Horton el Elefante?', 'mention': 'Horton el Elefante'}];en;es
Q4926545_0;Q4926545;['Movie', 'TV series'];Can you provide a brief description of Blind Faith?;[{'translation': '¿Puedes proporcionar una breve descripción de Fe ciega?', 'mention': 'Fe ciega'}];en;es
Q4926545_1;Q4926545;['Movie', 'TV series'];What type of media is Blind Faith?;[{'translation': '¿Qué tipo de medio es Fe ciega?', 'mention': 'Fe ciega'}];en;es
Q4926545_2;Q4926545;['Movie', 'TV series'];When was Blind Faith released?;[{'translation': '¿Cuándo se lanzó Fe ciega?', 'mention': 'Fe ciega'}];en;es
Q502651_0;Q502651;['Person'];Which country was Andrey Myagkov from?;[{'translation': '¿De qué país era Andréi Miagkov?', 'mention': 'Andréi Miagkov'}];en;es
Q502651_1;Q502651;['Person'];What is Andrey Myagkov known for?;[{'translation': '¿Por qué es conocido Andréi Miagkov?', 'mention': 'Andréi Miagkov'}, {'translation': '¿Por qué fue conocido Andréi Miagkov?', 'mention': 'Andréi Miagkov'}];en;es
Q502651_2;Q502651;['Person'];What were the years of Andrey Myagkov's acting career?;[{'translation': '¿Cuáles fueron los años de actor de Andréi Miagkov?', 'mention': 'Andréi Miagkov'}, {'translation': '¿Cuáles fueron los años de la carrera como actor de Andréi Miagkov?', 'mention': 'Andréi Miagkov'}];en;es
Q571544_0;Q571544;['Artwork'];In what ways does the oak leaf cluster contribute to the visual aesthetics of artwork, particularly in the field of heraldry?;[{'translation': '¿De qué manera contribuyen las Hojas de roble a la estética visual de las obras artísticas, particularmente en el campo de la heráldica?', 'mention': 'Hojas de roble'}, {'translation': '¿De qué manera contribuyen las hojas de roble a la estética visual de las obras de arte, particularmente en el campo de la heráldica?', 'mention': 'hojas de roble'}];en;es
Q571544_1;Q571544;['Artwork'];How does an oak leaf cluster play a role in heraldry and represent certain achievements or honors?;[{'translation': '¿De qué manera las Hojas de roble tienen un papel en la heráldica y representan ciertos logros u honores?', 'mention': 'Hojas de roble'}, {'translation': '¿Cómo juegan las hojas de roble un papel en la heráldica y representan ciertos logros u honores?', 'mention': 'hojas de roble'}];en;es
Q571544_2;Q571544;['Artwork'];Can you explain the significance of the oak leaf cluster as a figure in military awards and decorations?;[{'translation': '¿Qué significa el símbolo de las Hojas de roble en los premios y condecoraciones militares?', 'mention': 'Hojas de roble'}, {'translation': '¿Puedes explicar la importancia de las hojas de roble como figura en los premios y condecoraciones militares?', 'mention': 'hojas de roble'}];en;es
Q623417_0;Q623417;['Landmark'];Which river does the Rostokino Aqueduct cross?;[{'translation': '¿Qué río cruza el Acueducto de Rostokino?', 'mention': 'Acueducto de Rostokino'}];en;es
Q623417_1;Q623417;['Landmark'];Where is the Rostokino Aqueduct located?;[{'translation': '¿Dónde se ubica el Acueducto de Rostokino?', 'mention': 'Acueducto de Rostokino'}, {'translation': '¿Dónde se encuentra el Acueducto de Rostokino?', 'mention': 'Acueducto de Rostokino'}];en;es
Q623417_2;Q623417;['Landmark'];What is the Rostokino Aqueduct made of?;[{'translation': '¿De qué está hecho el Acueducto de Rostokino?', 'mention': 'Acueducto de Rostokino'}];en;es
Q6518146_0;Q6518146;['Fictional entity'];Where is the headquarters of the Legion of Monsters located?;[{'translation': '¿Dónde se encuentra la sede de la Legión de Monstruos?', 'mention': 'Legión de Monstruos'}, {'translation': 'Dónde se encuentra la sede de la Legión de Monstruos?', 'mention': 'Legión de Monstruos'}];en;es
Q6518146_1;Q6518146;['Fictional entity'];What powers do the Legion of Monsters possess?;[{'translation': '¿Que poderes poseen la Legión de Monstruos?', 'mention': 'Legión de Monstruos'}, {'translation': '¿Qué poderes posee la Legión de Monstruos?', 'mention': 'Legión de Monstruos'}];en;es
Q6518146_2;Q6518146;['Fictional entity'];When was the Legion of Monsters first introduced in comic books?;[{'translation': '¿Cuándo fueron introducidos por primera vez la Legión de Monstruos en los cómics?', 'mention': 'Legión de Monstruos'}, {'translation': '¿Cuándo se introdujo por primera vez la Legión de Monstruos en los cómics?', 'mention': 'Legión de Monstruos'}];en;es
Q725361_0;Q725361;['Person'];What are the benefits of incorporating green chemistry practices in industries?;[{'translation': '¿Cuáles son los beneficios de incorporar prácticas de Química sostenible en las industrias?', 'mention': 'Química sostenible'}, {'translation': '¿Cuáles son los beneficios de incorporar prácticas de química sostenible en las industrias?', 'mention': 'química sostenible'}];en;es
Q725361_1;Q725361;['Person'];How does green chemistry minimize the use of hazardous substances?;[{'translation': '¿Cómo minimiza la Química sostenible el uso de sustancias peligrosas?', 'mention': 'Química sostenible'}, {'translation': '¿Cómo minimiza la química sostenible el uso de sustancias peligrosas?', 'mention': 'química sostenible'}];en;es
Q725361_2;Q725361;['Person'];Can you give an example of a green chemistry innovation?;[{'translation': '¿Puedes dar un ejemplo de una innovación de la Química sostenible?', 'mention': 'Química sostenible'}, {'translation': '¿Puedes dar un ejemplo de una innovación de química sostenible?', 'mention': 'química sostenible'}];en;es
Q862538_0;Q862538;['TV series'];How many musketeers are featured in the 1978 TV series D'Artagnan and Three Musketeers?;"[{'translation': ""¿Cuántos mosqueteros aparecen en la serie de televisión de 1978 D'Artagnan y los tres mosqueteros?"", 'mention': ""D'Artagnan y los tres mosqueteros""}]";en;es
Q862538_1;Q862538;['TV series'];When was the 1978 TV series D'Artagnan and Three Musketeers released?;"[{'translation': ""¿Cuándo se estrenó la serie de televisión de 1978 D'Artagnan y los tres mosqueteros?"", 'mention': ""D'Artagnan y los tres mosqueteros""}]";en;es
Q862538_2;Q862538;['TV series'];Can you name a director of the 1978 TV series D'Artagnan and Three Musketeers?;"[{'translation': ""¿Puedes nombrar a un director de la serie de televisión de 1978 D'Artagnan y los tres mosqueteros?"", 'mention': ""D'Artagnan y los tres mosqueteros""}, {'translation': ""¿Puede nombrar al director de la serie de televisión de 1978 D'Artagnan y los tres mosqueteros?"", 'mention': ""D'Artagnan y los tres mosqueteros""}]";en;es
Q898971_0;Q898971;['TV series'];Where can I watch episodes of You Are the One online?;[{'translation': '¿Dónde puedo ver episodios de Sos mi vida en línea?', 'mention': 'Sos mi vida'}];en;es
Q898971_1;Q898971;['TV series'];What is the storyline of the Argentine telenovela You Are the One?;[{'translation': '¿Cuál es la historia de la telenovela argentina Sos mi vida?', 'mention': 'Sos mi vida'}];en;es
Q898971_2;Q898971;['TV series'];When did the TV series You Are the One first air in Argentina?;[{'translation': '¿Cuándo se emitió por primera vez la serie de televisión Sos mi vida en Argentina?', 'mention': 'Sos mi vida'}];en;es
Q969482_0;Q969482;['Place of worship'];What is the purpose of the Strahov Monastery?;[{'translation': '¿Cuál es el propósito del Monasterio de Strahov?', 'mention': 'Monasterio de Strahov'}, {'translation': '¿Cuál es el propósito del Monasterio de Strahov', 'mention': 'Monasterio de Strahov'}];en;es
Q969482_1;Q969482;['Place of worship'];Where is the Strahov Monastery located?;[{'translation': '¿Dónde se encuentra el Monasterio de Strahov?', 'mention': 'Monasterio de Strahov'}, {'translation': '¿Dónde se encuentra elMonasterio de StrahovComplejo de la iglesia de Praga)', 'mention': 'Monasterio de Strahov'}, {'translation': '¿Dónde se localiza el Monasterio de Strahov?', 'mention': 'Monasterio de Strahov'}];en;es
Q969482_2;Q969482;['Place of worship'];What type of place is the Strahov Monastery?;[{'translation': '¿Qué tipo de lugar es el Monasterio de Strahov?', 'mention': 'Monasterio de Strahov'}, {'translation': 'Qué tipo de lugar es elMonasterio de StrahovSitio de adoración en Praga)', 'mention': 'Monasterio de Strahov'}];en;es
