id;source_locale;target_locale;source;target;entities;from;wikidata_labels
47feccd4;en;es;Which movie had a higher lifetime gross, Jurassic World or The Lion King?;¿Qué película tuvo mayor recaudación: Mundo Jurásico o El Rey León?;['Q36479'];mintaka;{'Q36479': {'es': 'El rey león', 'en': 'The Lion King'}}
bb79562b;en;es;Did Inception have a bigger budget than Dunkirk?;¿Tuvo El Origen más presupuesto que Dunkerque?;['Q45797'];mintaka;{'Q45797': {'es': 'Dunkerque', 'en': 'Dunkirk'}}
306c2b74;en;es;Who has won more Academy Awards, Helen Mirren or Cate Blanchett?;¿Quién ha ganado más premios Óscar: Hellen Mirren o Cate Blanchett?;['Q19020', 'Q349391'];mintaka;{'Q19020': {'es': 'Premios Óscar', 'en': 'Academy Awards'}, 'Q349391': {'es': 'Helen Mirren', 'en': 'Helen Mirren'}}
b7a18689;en;es;Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?;¿Qué película de terror tuvo mayor recaudación en las taquillas de Estados Unidos: El Fin de los Tiempos (2008) o El Conjuro (2013)?;['Q30'];mintaka;{'Q30': {'es': 'Estados Unidos', 'en': 'United States'}}
5f3de4a8;en;es;Who is older, Anna Faris or Jennifer Aniston?;¿Quién es mayor: Anna Farris o Jennifer Aniston?;['Q4491'];mintaka;{'Q4491': {'es': 'Anna Faris', 'en': 'Anna Faris'}}
a3008693;en;es;Did Twilight come out before 1995?;¿Crepúsculo se estrenó antes de 1995?;['Q160071'];mintaka;{'Q160071': {'es': 'Crepúsculo', 'en': 'Twilight'}}
4c5901ae;en;es;Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?;¿Qué película contó con mayor presupuesto: El mago de Oz o Lo que el viento se llevó?;['Q2875', 'Q193695'];mintaka;{'Q2875': {'es': 'Lo que el viento se llevó', 'en': 'Gone with the Wind'}, 'Q193695': {'es': 'El mago de Oz', 'en': 'The Wizard of Oz'}}
375001ec;en;es;Was The Godfather released after 1970?;¿El Padrino se estrenó después de 1970?;['Q47703'];mintaka;{'Q47703': {'es': 'El padrino', 'en': 'The Godfather'}}
d9368ed1;en;es;Were the box office earnings for The Wolf of Wall Street or Inception higher?;¿Cuál tuvo la mayor recaudación de taquilla: El Lobo de Wall Street o El Origen?;['Q1392744'];mintaka;{'Q1392744': {'es': 'El lobo de Wall Street', 'en': 'The Wolf of Wall Street'}}
3263c8a7;en;es;Did Avengers or The Lion King have the highest budget in 2019?;¿Qué película tuvo el mayor presupuesto en 2019: Avengers o El Rey León?;['Q27044293'];mintaka;{'Q27044293': {'es': 'El rey león', 'en': 'The Lion King'}}
08f05ac5;en;es;Did the movie Moonraker come out before Live and Let Die?;¿La película Misión espacial se estrenó antes que Vive y deja morir?;['Q27204'];mintaka;{'Q27204': {'es': 'Vive y deja morir', 'en': 'Live and Let Die'}}
4b71cec9;en;es;Did the movie Thunderball come out before 1970?;¿La película Operación trueno se estrenó antes de 1970?;['Q107724'];mintaka;{'Q107724': {'es': 'Operación Trueno', 'en': 'Thunderball'}}
3723563b;en;es;Did Kill Bill: Vol. 1 come out after 2004?;¿Kill Bill: Volume 1 después de 2004?;['Q165325'];mintaka;{'Q165325': {'es': 'Kill Bill: Volumen 1', 'en': 'Kill Bill: Volume 1'}}
7175a825;en;es;Between The Notebook and Dear John, which movie was more profitable worldwide?;Entre Diario de una pasión y Querido John, ¿cuál película fue más rentable en todo el mundo?;['Q867138'];mintaka;{'Q867138': {'es': 'Querido John', 'en': 'Dear John'}}
00cc2a94;en;es;Which movie had a bigger budget, Doctor Sleep or Ad Astra?;¿Qué película contó con mayor presupuesto: Doctor Sueño o Ad Astra?;['Q56881169'];mintaka;{'Q56881169': {'es': 'Doctor Sueño', 'en': 'Doctor Sleep'}}
908a541d;en;es;Was Harry Potter and the Deathly Hallows Part 2 released before The Hunger Games?;¿Harry Potter y las Reliquias de la Muerte: Parte 2 se estrenó antes que Los juegos del Hambre?;['Q212965', 'Q232009'];mintaka;{'Q212965': {'es': 'Los juegos del hambre', 'en': 'The Hunger Games'}, 'Q232009': {'es': 'Harry Potter y las reliquias de la Muerte: parte 2', 'en': 'Harry Potter and the Deathly Hallows – Part 2'}}
c476b4a4;en;es;Was Men in Black released the same year as Tomorrow Never Dies?;¿Hombres de Negro se estrenó el mismo año que El Mañana Nunca Muere?;['Q207916'];mintaka;{'Q207916': {'es': 'El mañana nunca muere', 'en': 'Tomorrow Never Dies'}}
d711d5f0;en;es;Was Air Force One released the same year as As Good as It Gets?;¿Avión presidencial se estrenó el mismo año que Mejor...imposible?;['Q221594'];mintaka;{'Q221594': {'es': 'Mejor... imposible', 'en': 'As Good as It Gets'}}
0d9c0aba;en;es;Was The Fifth Element released the same year as The Full Monty?;¿El Quinto Elemento se estrenó el mismo año que The Full Monty?;['Q106506'];mintaka;{'Q106506': {'es': 'El quinto elemento', 'en': 'The Fifth Element'}}
e182d6c8;en;es;Is Tom Holland older than Tobey Maguire?;¿Tom Holland es mayor que Toby Maguire?;['Q165524'];mintaka;{'Q165524': {'es': 'Tobey Maguire', 'en': 'Tobey Maguire'}}
30f68ac6;en;es;Which movie had a bigger budget, Pirates of the Caribbean: At World's End or Avengers: Endgame?;¿Qué película tuvo un mayor presupuesto: Piratas del Caribe: en el fin del mundo o Avengers: Endgame?;['Q54274'];mintaka;"{'Q54274': {'es': 'Piratas del Caribe: en el fin del mundo', 'en': ""Pirates of the Caribbean: At World's End""}}"
15ad15e5;en;es;Who is older, Clint Eastwood or Cuba Gooding Jr.?;¿Quién es mayor: Clint Eastwood o Cuba Gooding Jr?;['Q136209'];mintaka;{'Q136209': {'es': 'Cuba Gooding', 'en': 'Cuba Gooding Jr.'}}
22d229a3;en;es;How many awards has Tobey Maguire won for Spider-Man related roles?;¿Cuántos premios ganó Tobey Maguire por su rol en Spiderman?;['Q79037'];mintaka;{'Q79037': {'es': 'Spider-Man', 'en': 'Spider-Man'}}
58706029;en;es;How many of the Godfather movies did James Caan act in?;¿En cuántas películas de El Padrino actuó James Caan?;['Q47703'];mintaka;{'Q47703': {'es': 'El padrino', 'en': 'The Godfather'}}
7d2ed9a0;en;es;How many movies feature Andrew Garfield as Spider-Man?;¿En cuántas películas aparece Andrew Garfield como Spiderman?;['Q79037'];mintaka;{'Q79037': {'es': 'Spider-Man', 'en': 'Spider-Man'}}
35d96b82;en;es;In how many movies has Laurence Fishburne played the character Morpheus?;¿En cuántas películas Laurence Fishburne desempeño el papel de Morfeo?;['Q194012'];mintaka;{'Q194012': {'es': 'Morfeo', 'en': 'Morpheus'}}
46c19f73;en;es;How many Child's Play movies are there?;¿Cuántas películas de Chucky: el muñeco diabólico hay?;['Q2265493'];mintaka;"{'Q2265493': {'es': 'Chucky', 'en': ""Child's Play""}}"
9410e0f9;en;es;How many Captain America movies has Chris Evans starred in?;¿Cuántas películas de Capitán América protagonizó Chris Evans?;['Q190679'];mintaka;{'Q190679': {'es': 'Capitán América', 'en': 'Captain America'}}
5c6eec4e;en;es;How many feature movies grossed more than $1.4 billion in 2019?;¿Cuántas películas recaudaron más de 1.4 mil millones de dólares en el 2019?;['Q11424'];mintaka;{'Q11424': {'es': 'película', 'en': 'film'}}
c4057f2a;en;es;How many feature movies grossed more than $1.6 billion in 2015?;¿Cuántas películas recaudaron más de 1.6 mil millones de dólares en el 2015?;['Q11424'];mintaka;{'Q11424': {'es': 'película', 'en': 'film'}}
f67c03c4;en;es;How many Star Wars movies did Jabba the Hutt appear in?;¿En cuántas películas de La Guerra de las Galaxias apareció Jabba el Hutt?;['Q51794'];mintaka;{'Q51794': {'es': 'Jabba el Hutt', 'en': 'Jabba the Hutt'}}
666678ba;en;es;How many Guardians of the Galaxy movies are there?;¿Cuántas películas de Guardianes de la Galaxia hay?;['Q5887360'];mintaka;{'Q5887360': {'es': 'Guardianes de la Galaxia', 'en': 'Guardians of the Galaxy'}}
4de034f6;en;es;In how many Pirates of the Caribbean movies did Johnny Depp portray Captain Jack Sparrow?;¿En cuántas de las películas de Piratas del Caribe Johnny Depp interpretó al Capitán Jack Sparrow?;['Q202857', 'Q194318'];mintaka;{'Q202857': {'es': 'Jack Sparrow', 'en': 'Captain Jack Sparrow'}, 'Q194318': {'es': 'Piratas del Caribe', 'en': 'Pirates of the Caribbean'}}
4df2564a;en;es;How many Pirates of the Caribbean movies are there?;¿Cuántas películas de Piratas del Caribe hay?;['Q194318'];mintaka;{'Q194318': {'es': 'Piratas del Caribe', 'en': 'Pirates of the Caribbean'}}
07ce968b;en;es;How many children did Ron and Hermione have in Harry Potter and the Deathly Hallows?;¿Cuántos hijos tuvieron Ron y Hermione en Harry Potter y las Reliquias de la Muerte?;['Q1880543'];mintaka;{'Q1880543': {'es': 'Harry Potter y las Reliquias de la Muerte', 'en': 'Harry Potter and the Deathly Hallows'}}
6f7f3edf;en;es;How many hobbits are in the fellowship of the ring in The Lord of the Ring movies?;¿Cuántos hobbits forman parte de la Comunidad del anillo en las películas de El Señor de los Anillos?;['Q190214'];mintaka;{'Q190214': {'es': 'El Señor de los Anillos', 'en': 'The Lord of the Rings trilogy'}}
f800746d;en;es;How many Lord of the Rings movies was Gandalf the White in?;¿En cuántas de las películas de El Señor de los Anillos aparece Gandalf el Blanco?;['Q190214'];mintaka;{'Q190214': {'es': 'El Señor de los Anillos', 'en': 'The Lord of the Rings trilogy'}}
5bf0ec18;en;es;Which 1940 Disney movie did not feature the Little Mermaid as a character?;¿En qué película de Disney del año 1940 La Sirenita no aparece como un personaje?;['Q190135'];mintaka;{'Q190135': {'es': 'La sirenita', 'en': 'The Little Mermaid'}}
5a7a384e;en;es;Which 1952 Gene Kelly movie failed to earn a Best Picture nod at the Oscars that year?;¿Qué película del año 1952 en la que actuó Gene Kelly, no ganó el Óscar a la mejor película de ese año?;['Q102427'];mintaka;{'Q102427': {'es': 'Óscar a la mejor película', 'en': 'Academy Award for Best Picture'}}
15e8a708;en;es;Which movie did Gollum not survive in, in Lord of the Rings?;¿En qué película de la saga El Señor de los Anillos Gollum no sobrevive?;['Q190214'];mintaka;{'Q190214': {'es': 'El Señor de los Anillos', 'en': 'The Lord of the Rings trilogy'}}
5d65d703;en;es;Which Pirates of the Caribbean movie did Keira Knightley not appear in?;¿En qué película de Piratas del Caribe ni apareció Keira Knightkley?;['Q194318', 'Q42581'];mintaka;{'Q194318': {'es': 'Piratas del Caribe', 'en': 'Pirates of the Caribbean'}, 'Q42581': {'es': 'Keira Knightley', 'en': 'Keira Knightley'}}
6b22aff8;en;es;Which Lord of the Rings movie did not get nominated for the Best Director Oscar?;¿Qué película de la saga de El Señor de los Anillos no fue nominada al Óscar para Mejor Director?;['Q190214'];mintaka;{'Q190214': {'es': 'El Señor de los Anillos', 'en': 'The Lord of the Rings trilogy'}}
6e2cbdb3;en;es;Which Captain America (MCU) movie does not star Scarlett Johansson?;¿Qué película de Capitán América (UCM) no protagoniza Scarlett Johansson?;['Q190679'];mintaka;{'Q190679': {'es': 'Capitán América', 'en': 'Captain America'}}
1402f805;en;es;Which was the first DC Extended Universe movie to not involve Charles Roven as a producer?;¿Cuál fue la primera película del Universo Extendido de DC que no tuvo a Charles Roven como productor?;['Q18281265'];mintaka;{'Q18281265': {'es': 'Universo extendido de DC', 'en': 'DC Extended Universe'}}
fa08c557;en;es;Which The Godfather movie was not released in the 1970s?;¿Qué película de la saga El Padrino no se estrenó en la década de 1970?;['Q47703'];mintaka;{'Q47703': {'es': 'El padrino', 'en': 'The Godfather'}}
66e66d5d;en;es;"Who starred in ""Rebel Without a Cause"" but was not awarded an Academy Award for his/her acting?";¿Quién protagonizó ¨Rebelde sin Causa¨ pero no ganó un Premio de la Academia por su actuación?;['Q426346'];mintaka;{'Q426346': {'es': 'Rebelde sin causa', 'en': 'Rebel Without a Cause'}}
d4a90c39;en;es;"Who wrote, ""Live and Let Die"", for the 1973 James Bond movie of the same name, which was nominated for, but did not win, the Best Original Song Oscar?";¿Quién escribió Live and Let Die para la película de James Bond de 1973 con el mismo nombre, que fue nominada, pero no ganó el Óscar a la mejor canción original?;['Q112243'];mintaka;{'Q112243': {'es': 'Óscar a la mejor canción original', 'en': 'Academy Award for Best Original Song'}}
a1c278e9;en;es;Who was nominated for the award in Cinematography for their role in Judas and the Black Messiah but did not win?;¿Quién fue nominado para el premio en Cinematografía por su papel en Judas y el Mesías Negro pero no lo ganó?;['Q590870'];mintaka;{'Q590870': {'es': 'cinematografía', 'en': 'cinematography'}}
553cdcad;en;es;What was the first live action Spider-Man movie to not include Tobey Maguire?;¿Cuál fue la primera película de Spiderman que no incluyó a Tobey Maguire?;['Q79037'];mintaka;{'Q79037': {'es': 'Spider-Man', 'en': 'Spider-Man'}}
474bb18f;en;es;What was the last movie Clint Eastwood starred in, but was not a Dirty Harry movie?;¿Cuál fue la última película protagonizada por Clint Eastwood que no fue una película de Harry el Sucio?;['Q110206'];mintaka;{'Q110206': {'es': 'Harry el sucio', 'en': 'Dirty Harry'}}
5c56b957;en;es;Which movie did Leo DiCaprio receive an Oscar nomination for in 2005 for Best Actor but did not win?;¿Por qué película recibió Leo DiCaprio una nominación al premio Óscar en 2005, pero no ganó?;['Q19020'];mintaka;{'Q19020': {'es': 'Premios Óscar', 'en': 'Academy Awards'}}
9f61e8d8;en;es;Which Scorsese movie has won an Oscar for Best Director without De Niro participating in the project?;¿Qué película de Scorsese, sin la participación de DeNiro en el proyecto, ganó el Óscar a Mejor Director?;['Q103360'];mintaka;{'Q103360': {'es': 'Óscar al mejor director', 'en': 'Academy Award for Best Director'}}
9bcc144a;en;es;Which Lawrence of Arabia actor was nominated for Best Actor but did not win?;¿Qué actor de la película Lawrence de Arabia fue nominado como Mejor Actor pero no ganó?;['Q228186'];mintaka;{'Q228186': {'es': 'Lawrence de Arabia', 'en': 'Lawrence of Arabia'}}
789cf0fa;en;es;Which Lord of the Rings movies did not feature Gandalf the Grey?;¿Cuál de las películas de El Señor de los Anillos no mostró a Gandalf el Gris?;['Q190214'];mintaka;{'Q190214': {'es': 'El Señor de los Anillos', 'en': 'The Lord of the Rings trilogy'}}
4001d7e5;en;es;Which Matrix movie did Lilly Wachowski not direct?;¿Cuál de las películas de Matrix no fue dirigida por Lily Wachowski?;['Q9544977'];mintaka;{'Q9544977': {'es': 'Lilly Wachowski', 'en': 'Lilly Wachowski'}}
4ee23829;en;es;Which Korean-American actor was nominated for Best Actor but did not win?;¿Qué actor coreano-estadounidense fue nominado como Mejor Actor pero no ganó?;['Q276879'];mintaka;{'Q276879': {'es': 'Coreano estadounidenses', 'en': 'Korean Americans'}}
b35fda31;en;es;Which is the only Final Destination movie not to be filmed in Canada?;¿Cuál es la única película de Destino final que no fue rodada en Canadá?;['Q16', 'Q223261'];mintaka;{'Q16': {'es': 'Canadá', 'en': 'Canada'}, 'Q223261': {'es': 'Destino final', 'en': 'Final Destination'}}
70c8ae5a;en;es;Which actor not born in the United States starred as Spider-Man?;¿Qué actor no nacido en Estados Unidos interpretó el papel de hombre araña?;['Q30'];mintaka;{'Q30': {'es': 'Estados Unidos', 'en': 'United States'}}
506bbee1;en;es;Which 2021 Emmy award was Cobra Kai nominated for, but did not win?;¿Para qué premio en 2021 fue nominada Cobra-Kai pero no ganó?;['Q48326845'];mintaka;{'Q48326845': {'es': 'Cobra Kai', 'en': 'Cobra Kai'}}
b6c5c17c;en;es;Which movie is part of the Marvel Cinematic Universe and has Chadwick Boseman in the titular role?;¿Qué película es parte de el Universo Cinematográfico de Marvel y tiene a Chadwick Boseman en el papel principal?;['Q642878'];mintaka;{'Q642878': {'es': 'Universo cinematográfico de Marvel', 'en': 'Marvel Cinematic Universe'}}
c2c5a492;en;es;Which actor plays Ethan Hunt in the Mission Impossible series and was born in Syracuse, New York?;¿Qué actor interpreta a Ethan Hunt en la saga de Misión Imposible y nació en Syracuse, Nueva York?;['Q1356213'];mintaka;{'Q1356213': {'es': 'Misión imposible', 'en': 'Mission: Impossible'}}
60d0d2bf;en;es;Which actress from Germany was in the movie Troy?;¿Qué actriz de Alemania apareció en la película Troya?;['Q183'];mintaka;{'Q183': {'es': 'Alemania', 'en': 'Germany'}}
3a1ab80f;en;es;Who directed both Psycho as well as a movie starring a wheelchair-bound photographer?;¿Quién dirigió tanto Psicosis como también una película protagonizada por un fotógrafo en silla de ruedas?;['Q163038'];mintaka;{'Q163038': {'es': 'Psicosis', 'en': 'Psycho'}}
fd4d3a28;en;es;Which movie was directed by the Coen brothers and starred John Turturro?;¿Qué película fue dirigida por los hermanos Coen y tuvo como protagonista a John Turturro?;['Q56095'];mintaka;{'Q56095': {'es': 'hermanos Coen', 'en': 'Coen brothers'}}
d51b7dab;en;es;Which movie was directed by the Coen brothers and starred Javier Bardem?;¿Qué película fue dirigida por los hermanos Coen y protagonizada por Javier Bardem?;['Q56095'];mintaka;{'Q56095': {'es': 'hermanos Coen', 'en': 'Coen brothers'}}
78ad68cd;en;es;Which movie was directed by the Coen brothers and starred Michael Stuhlbarg?;¿Qué película fue dirigida por los hermanos Coen y protagonizada por Michael Stuhlbarg?;['Q56095'];mintaka;{'Q56095': {'es': 'hermanos Coen', 'en': 'Coen brothers'}}
1cbe8494;en;es;Which actor played James Bond and was from Ireland?;¿Qué actor irlandés retrató a James Bond?;['Q27'];mintaka;{'Q27': {'es': 'Irlanda', 'en': 'Ireland'}}
15a76dda;en;es;Who starred in The Graduate and achieve the Triple Crown of Acting?;¿Quién trabajó en El graduado y obtuvo el premio Triple Crown of Acting?;['Q217627'];mintaka;{'Q217627': {'es': 'El graduado', 'en': 'The Graduate'}}
ab658298;en;es;Who played a juror in 12 Angry Men and made his Hollywood movie debut in 1935?;¿Quién protagonizó Doce hombres en pugna e hizo su debut cinematográfico en Hoollywood en 1935?;['Q34006'];mintaka;{'Q34006': {'es': 'Hollywood', 'en': 'Hollywood'}}
93ce505b;en;es;Which actress is married to Ryan Reynolds and starred in Black Widow?;¿Qué actriz estuvo casada con Ryan Renolds y protagonizó Black Widow?;['Q192682'];mintaka;{'Q192682': {'es': 'Ryan Reynolds', 'en': 'Ryan Reynolds'}}
7ce7e1f7;en;es;Which actress was in the Hunger Games and was born in Indian Hills, KY?;¿Qué actriz estuvo en los Juegos del hambre y nació en Indian Hills, Kentucky?;['Q212965'];mintaka;{'Q212965': {'es': 'Los juegos del hambre', 'en': 'The Hunger Games'}}
5f37b1ca;en;es;Which actress was in Suicide Squad and went to Somerset College?;¿Qué actriz trabajó en Escuadrón Suicida y estudió en Somerset College?;['Q18604504'];mintaka;{'Q18604504': {'es': 'Escuadrón suicida', 'en': 'Suicide Squad'}}
9259c025;en;es;Which movie was directed by the Wachowski Brothers and had Keanu Reeves in it?;¿Cuál es la película dirigida por los hermanos Wachowski en la que actúa Keanu Reeves?;['Q195719'];mintaka;{'Q195719': {'es': 'Hermanas Wachowski', 'en': 'the Wachowskis'}}
87b569b1;en;es;Which actress was in Gone with the Wind and in A Streetcar Named Desire?;¿Qué actriz trabajó en Lo que el viento se llevó y en Un tranvía llamado deseo?;['Q212129', 'Q2875'];mintaka;{'Q212129': {'es': 'Un tranvía llamado Deseo', 'en': 'A Streetcar Named Desire'}, 'Q2875': {'es': 'Lo que el viento se llevó', 'en': 'Gone with the Wind'}}
52db3d16;en;es;Which movie actress was born in Dalby, Australia and has also played a leading role in the Suicide Squad movie?;¿Qué actriz nació en Dalby, Australia, y también tuvo un papel protagónico en Escuadrón suicida?;['Q18604504'];mintaka;{'Q18604504': {'es': 'Escuadrón suicida', 'en': 'Suicide Squad'}}
8a8d906b;en;es;Which movie actor was born in Sydney, Australia and has played a role as a main character in the X-Men movies?;¿Qué actor cinematográfico nació en Sídney (Australia) y representó un papel como personaje principal en las películas de X-Men?;['Q3130'];mintaka;{'Q3130': {'es': 'Sídney', 'en': 'Sydney'}}
61264835;en;es;Which movie actor has played a main character in the Thor movies and has a brother that has dated Miley Cyrus?;¿Qué actor tuvo el papel principal en Thor y tiene un hermano que salió con Miley Cirus?;['Q4235'];mintaka;{'Q4235': {'es': 'Miley Cyrus', 'en': 'Miley Cyrus'}}
bad12250;en;es;Which actor played Spider-Man and was born in England?;¿Qué actor interpretó el hombre araña y nació en Inglaterra?;['Q21'];mintaka;{'Q21': {'es': 'Inglaterra', 'en': 'England'}}
852e557f;en;es;Which actress starred in Maleficent and grew up in New York?;¿Qué actriz protagonizó Maléfica y creció en Nueva York?;['Q172271', 'Q1384'];mintaka;{'Q172271': {'es': 'Maléfica', 'en': 'Maleficent'}, 'Q1384': {'es': 'Nueva York', 'en': 'New York'}}
ea686027;en;es;Which movie starred Roger Moore and was set mostly in Louisiana?;¿Qué película fue protagonizada por Roger Moore y se filmó mayormente el Luisiana?;['Q1588'];mintaka;{'Q1588': {'es': 'Luisiana', 'en': 'Louisiana'}}
96a9bd38;en;es;Which actor was in Pirates of the Caribbean and was a pen salesman before his acting career?;¿Qué actor apareció en Piratas del Caribe y era un vendedor de bolígrafos antes empezar su carrera como actor?;['Q194318'];mintaka;{'Q194318': {'es': 'Piratas del Caribe', 'en': 'Pirates of the Caribbean'}}
e74425b1;en;es;Which actress in Blue Lagoon graduated from Princeton University?;¿Qué actriz del Lago azul se graduó en la Universidad de Princeton?;['Q21578'];mintaka;{'Q21578': {'es': 'Universidad de Princeton', 'en': 'Princeton University'}}
c7bcb4dd;en;es;Which actress starred in Transformers and modeled for Victoria's Secret?;¿Qué actriz protagonizó Transformers y modeló para Victoria´s Secret?;['Q332477'];mintaka;"{'Q332477': {'es': ""Victoria's Secret"", 'en': ""Victoria's Secret""}}"
9989cfca;en;es;"Which actress starred in ""The Island"" and has a twin in real life?";¿Qué actriz protagonizó La isla y tiene un hermano gemelo en la vida real?;['Q224069'];mintaka;{'Q224069': {'es': 'La isla', 'en': 'The Island'}}
35575c6b;en;es;"Which actress played Burt Lancaster's daughter in ""Sweet Smell of Success"" and graduated at the High School of Performing Arts in New York City?";¿Qué actriz interpretó a la hija de Burt Lancaster en La mentira maldita y se graduó de la Escuela preparatoria de artes escénicas de Nueva York?;['Q60'];mintaka;{'Q60': {'es': 'Nueva York', 'en': 'New York City'}}
7bb95643;en;es;"Which actor played Terry Malloy in ""On the Waterfront"" and whose religion is Christian Scientist?";¿Qué actor interpretó a Terry Malloy en Nido de ratas y cuya religión es la Ciencia cristiana?;['Q624477'];mintaka;{'Q624477': {'es': 'ciencia cristiana', 'en': 'Christian Science'}}
5a89694c;en;es;Where is the actor who played Seong Gi-hun in Squid Game from?;¿De dónde es el actor que interpretó el papel de Seong Gi-hun en El juego del calamar?;['Q106582931'];mintaka;{'Q106582931': {'es': 'El juego del calamar', 'en': 'Squid Game'}}
8d8f27b6;en;es;When was the director of Jurassic Park born?;¿Cuándo nació el director de Parque Jurásico?;['Q167726'];mintaka;{'Q167726': {'es': 'Parque Jurásico', 'en': 'Jurassic Park'}}
54167fd8;en;es;When was the director of The 40-Year-Old Virgin born?;¿Cuándo nació el director de Virgen a los 40?;['Q1139794'];mintaka;{'Q1139794': {'es': 'Virgen a los 40', 'en': 'The 40-Year-Old Virgin'}}
193c8093;en;es;What's the actor's name who played Spider-Man in 2002?;¿Cuál es el nombre del actor que interpretó a Spiderman en el 2002?;['Q79037'];mintaka;{'Q79037': {'es': 'Spider-Man', 'en': 'Spider-Man'}}
761bf760;en;es;How many times has the actor who played Spider-Man (2002) been married?;¿Cuántas veces se casó el actor que interpretó a Spiderman (2002)?;['Q79037'];mintaka;{'Q79037': {'es': 'Spider-Man', 'en': 'Spider-Man'}}
